X,Y,Z,azimuth,dip,polarity,formation
317883.0,4379246.0,1000,90,0,1,Volcanic_mafic
326883.0,4379246.0,1000,90,0,1,Volcanic_mafic
317883.0,4379246.0,600,90,0,1,Volconic_felsic
326883.0,4379246.0,600,90,0,1,Volconic_felsic
318733.0,4384871.0,786,18.2,67.1,1,fault1
319426.0,4384251.0,-1476,187.9,74.8,1,fault2
318584.0,4384193.0,-1108,150.0,81.6,1,fault3
320214.0,4384386.0,-1889,23.8,72.1,1,fault4
319964.0,4384867.0,-718,187.0,72.0,1,fault5
321305.0,4382804.0,-1464,201.2,73.5,1,fault6
320222.0,4382593.0,-1456,222.9,71.1,1,fault7
319565.0,4382876.0,-421,343.6,72.5,1,fault8
319506.0,4382950.0,-272,332.6,87.4,1,fault9
320462.0,4382398.0,-1570,213.9,55.0,1,fault10
322628.0,4383065.0,-911,181.5,49.4,1,fault11
323988.0,4384453.0,-1330,127.1,81.0,1,fault12
